print;athlas;story;page;image;label;rules;scen;todos;actions;addons;{comm}{ecomm}{say}{said}Иди {page:}{3mm}{comm}{ecomm}{say}{said}Иди {page:};—;«»
1;common;gloaki;in_hospital;;;;Внутри больницы много людей. Кто-то пришёл навестить родных и ждёт, когда его пригласят на второй этаж, кто-то ждёт, когда доктор их примет. Сейчас, во время эпидемии, пациентов настолько много, что Доктор не успевает ездить по всем домам, даже вместе со своими помощниками. Горожане, из тех, кому это по чину, сами приходят в больницу, и я среди них. Я вижу, что на всех лицах есть след той же эмоции, что охватывает и меня — надежды на лучший исход. Мы очень доверяем Доктору, санитарам, всем, кто сейчас борется с болезнью, и мы знаем, что Док поможет!;Стоит ли мне поговорить с людьми, пока я жду, или же молча ждать, когда меня пригласят на приём?;{comm}Пообщаться с пациентами{ecomm}{say}Все не так тоскливо будет ждать приема. Может, и узнаю что нового.{said}Подсядь поближе к другим посетителям {page:talk_patients}{3mm}{comm}Молча ждать{ecomm}{say}Рассказы о болезнях других людей в худшем случае расстроят меня, в лучшем — оставят равнодушным. Зачем лишний раз огорчаться?{said}Сиди и жди, пока тебя не вызовут {page:appoint};;;;
1;common;gloaki;no_exit;in_hospital.jpg; -G;Сбрось 1 Зеленый Камень;Внутри больницы много людей. Кто-то пришёл навестить родных и ждёт, когда его пригласят на второй этаж, кто-то ждёт, когда доктор их примет. Сейчас, во время эпидемии, пациентов настолько много, что Доктор не успевает ездить по всем домам, даже вместе со своими помощниками. Горожане, из тех, кому это по чину, сами приходят в больницу, и я среди них. Я вижу, что на всех лицах есть след той же эмоции, что охватывает и меня — ощущение безысходности, безнадёжности, близкое к отчаянию. Мы все гниём в могиле уже сейчас, и нам только кажется, что мы живы. Мы обратимся в тлен раньше, чем настанет будущий год. Всё будет так. Исхода нет.;Остаться ли мне здесь и поговорить с людьми? Или немедленно уйти куда-нибудь в город? А может, пойти на кладбище?;{comm}Поговорить{ecomm}{say}Раз уж я сюда пришел — надо поговорить с Доком. А пока он занят, пообщаюсь с ждущими приема.{said}Отправляйся общаться {page:talk_dull_patients}{3mm}{comm}Уйти в город{ecomm}{say}Действительно, что это меня занесло в это гиблое место? Скорее на улицу!{said}Выходи {page:street}{3mm}{comm}Пойти на кладбище{ecomm}{say}Именно кладбище сейчас полностью соответствует моему текущему настрою. Отправлюсь-ка я побродить между могил.{said}Кладбищенская дорога ведет {page:graveyard};;;;
1;common;gloaki;talk_dull_patients;talk_patients.jpg;;;Я здороваюсь с несколькими знакомыми людьми, ожидающими своей очереди и завязываю беседу. Как и всякая беседа в Салеме, мы вскоре начинаем говорить о Болезни.<br> — Мне совсем не помогает моё лекарство! — говорит старик Уоткинс, — Приступы подступают снова и снова, я чувствую себя старой собакой, которую пора пристрелить!<br> — Я раз за разом прихожу в больницу, благодаря Бога за то, что жива, — подхватывает миссис Браун, — Но каждый раз, возвращаясь, я иду на исповедь, поскольку гневалась и проклинала секунды мнимой надежды на выздоровление!<br> — Моя сестрёнка умерла на позапрошлой неделе, и сейчас я болею тем же самым, что она, — тихонько добавляет Эбигайль Смит, девчонка лет четырнадцати, — Я думаю, что скоро мы с сестрой снова будем вместе.<br>Я меж тем думаю, что у нас осталось всего двенадцать полей из восемнадцати, и что зима будет тяжёлой. Общество меня тяготит. ;Может, не идти к Доктору вообще, а выйти на улицу? Или таки дождаться приема?;{comm}Уйти из больницы{ecomm}{say}Какой смысл во всем этом? Все равно мы все умрем, днем ли раньше, днем ли позже… Пойду пройдусь... {said}Иди пройдись {page:street}{3mm}{comm}Дождаться приема{ecomm}{say}Ну что ж, послушаем, что нам скажет Док{said}Входи в его кабинет {page:appoint_dull};;;;
1;common;gloaki;appoint_dull;appoint.jpg; -R;Сбрось 1 Красный Камень;Я вхожу в кабинет Доктора. Окно распахнуто настежь, несмотря на достаточно сырую осеннюю погоду. По всей видимости, нужно, чтобы выветривался запах спиртного после Уоткинса: как известно, Доктор не терпит нарушений в своих предписаниях, а он настоятельно всем запретил пить, курить и волноваться. <br>Доктор суров. Он видит меня насквозь: весь мой скепсис, всю мою боль, все мои попытки солгать себе. Поэтому то, что я ему говорю — не очень важно. Это не первое моё посещение, и на самом деле мне всего лишь нужен новый рецепт для аптеки.<br>Мы оба немногословны и не хотим видеть друг друга. Я направлюсь в бар, как только выйду отсюда, а также совсем не собираюсь избавляться от ещё отцовских запасов сигар. Доктор про это знает. В последнее время он знает о людях куда больше, чем мистер Джаннини, и это тревожно.;Приём закончен. Следует ли мне отправиться в город и затем в бар, как и было запланировано, или обмануть всех, включая себя, и отправиться гулять на кладбище? ;{comm}В город{ecomm}{say}Пожалуй, если это и не самое разумное, что я сейчас могу предпринять, то одно из наименее противных — точно. Какая-никакая компания, собутыльники… Может, удастся забыться...  {said}Выходи из больницы и иди {page:street}{3mm}{comm}Пойти на кладбище{ecomm}{say}Есть в этом какой-то черный сарказм, но сейчас эта мысль мне даже нравится.{said}Направляйся {page:graveyard};;;;
1;common;gloaki;poverty;;baran;В этой Локации, чтобы СОГЛАСИТЬСЯ с выбором Гипнотизера, сбрось 1 случайный Камень из мешка (Красный, Синий или Зеленый).  В ином случае — явно возрази и сам выбери команду.;Нищета не способствует здоровью! Если я буду тратить слишком много денег сейчас, то как и чем я буду лечиться потом? Если все мы больны, если приступа можно избежать, если здоровый образ жизни поможет мне справиться, а если не он, то старый добрый виски, то зачем я буду самостоятельно сокращать срок своей жизни путём растраты денег, которые завтра понадобятся для лекарств?! {3mm}Я отстёгиваю аптекарю положенную сумму и кладу бутылку с пилюлями в карман. Болезни так просто меня не взять! Что бы сделать теперь? ;Прогуляться по городу или пойти домой?;{comm}Пройтись по городу{ecomm}{say}Прогуляюсь, пожалуй. Прогулка — это, по крайней мере, то лекарство, которое у нас никто не отнимет. Не самое сильнодействующее, но, несомненно, дешевое и приятное.{said}Иди гулять {page:street}{3mm}{comm}Пойти домой{ecomm}{say}Дома тепло, светло, сухо, и не стоит гнетущий запах лекарств и болезни. Похоже, сейчас тепло родного дома — это именно то, что мне нужно.{said}Иди {page:at_home};;;;
1;common;gloaki;nightjars;; -G;Сбрось 1 Зеленый Камень;Чем ближе к реке, тем более вязкой становится почва под ногами. Ботинки чавкают по грязи. Приходится постоянно смотреть под ноги, чтобы не угодить в глубокую лужу или не поскользнуться. Дорога, как ни странно, нахоженная. Вдоль реки, у самых туманов, живут в хлипких деревянных домиках бедняки — рыбаки, работники доков, пришлые… Хотя воздух здесь чище, свежее, присутствие болезни чувствуется повсюду. Именно с реки приходит туман. Когда я иду мимо хибар, изнутри раздаётся покашливание. Я стараюсь ускорить шаг, насколько это возможно.<br>Издалека донесся жалобный плач козодоя — это был верный признак того, что одна часть горизонта уже очистилась от грозовых туч. Ему пошел вторить другой, и скоро многоголосый хор этих птиц наводнил всю округу своими оглушительными стенаниями. ;Может, вернуться в город? Или идти дальше, в сторону индейского поселения?;{comm}Вернуться в город{ecomm}{say}Действительно, что это меня потянуло в эту промозглую глушь! Скорее назад!{said}Назад — это {page:street}{3mm}{comm}Идти дальше{ecomm}{say}Какой смысл уходить, когда я уже так далеко зашел? Только вперед! Да и какая разница уже, куда идти, все равно куда-нибудь приду.{said}Ступай дальше {page:to_indians};;;;
1;common;gloaki;to_indians;;;;Узкие тропинки и впадины неясной глубины пересекают дорогу, а переброшенные через них грубо сколоченные мостки кажутся довольно опасными. Дорога начинает идти под уклон, появляются участки болотистой местности, вызывающие инстинктивную неприязнь, а нынче — настоящий страх из-за стрекота невидимых козодоев, светлячков, танцующих в необыкновенном изобилии, хриплого и резкого, неприятно настойчивого свиста жаб. Узкая сверкающая лента реки напоминает змею, когда она, изгибаясь, подходит к подножию куполообразных холмов, у которых располагается индейское поселение. <br>Я не подхожу ближе и смотрю издалека. Мне известно, всем в городе известно, что именно отсюда разошлась зараза, что именно индейцы разбудили её. Сейчас уже ничего не поделаешь, но...  Салем помнит!;Что ж, пора уходить, не стоять же здесь до самой ночи! Но куда мне направиться — в город, к себе домой или к врачу?;{comm}В город{ecomm}{say}Пойду в город, еще немного проветрюсь и отправлюсь домой{said}Направляйся {page:street}{3mm}{comm}Домой{ecomm}{say}В тепло, к свету, к родным! Там уютно потрескивает камин, там светло, и, будем надеяться, уже готов ужин.{said}Родной дом манит тебя {page:at_home}{3mm}{comm}К врачу{ecomm}{say}Кажется, я зря пришёл в эту заражённую местность, и стоит проверить, не заболел ли я.{said}Дорога к больнице ведет {page:to_doctor};;;;
1;common;gloaki;talk_patients;;;;Я здороваюсь с несколькими знакомыми людьми, ожидающими своей очереди и завязываю беседу. Как и всякая беседа в Салеме, наша вскоре сводится к Болезни.<br> — Я считаю, что в эпидемии виноваты грёбанные нигги, — шамкает старик Уоткинс, — Они, как крысы, разносят всякую дрянь, лезут во все дыры. Пройти по улице нельзя спокойно! Из дома вышел — сразу нигга! Откуда они вообще взялись в наших краях?! Понаехали, понимаешь!<br> — Ахилл Паррис, наш пастор, дай Бог ему здоровья, говорит, что Болезнь пришла от тех, кто не с Богом! Негры же, как-никак, крещены, а вот…, — миссис Браун осекается и добавляет полушёпотом, — Вообще-то я думаю, что он намекал на индейцев.<br> — Моя сестрёнка умерла на прошлой неделе, а сегодня ночью я видела её во сне, и она говорила, что виноват аптекарь, потому что он еврей и подмешивает к лекарствам мышьяк! — заявила юная Эбигайль Смит, — Мне бы не хотелось, чтобы это было правдой, но ведь духи не врут!<br>Ох, не объяснять же ей, что никаких духов не существует, сколько бы индейский шаман ни болтал про это! Беседа меня несколько утомляет.{3mm}Наконец, подходит моя очередь, и я вхожу в кабинет Доктора;;Войди {page:appoint};;;;
1;common;gloaki;appoint;;;;Я вхожу в кабинет Доктора. Окно распахнуто настежь, несмотря на достаточно сырую осеннюю погоду. По всей видимости, нужно, чтобы выветривался запах спиртного после Уоткинса: как известно, Доктор за здоровый образ жизни, и его расстраивает, когда жители города, о которых он так радеет, не следуют его советам.<br>Доктор осведомляется, как мои дела и, убедившись, что моё состояние стабильно, а приступы не беспокоят меня столь часто, сколь раньше, делает несколько записей в моей карте. <br>Конечно, он знает, что я слегка выпиваю и что раньше не прочь был покурить, поэтому мягко журит меня, напоминая, что на карте моя жизнь и здоровье. Наконец, он воодушевляет меня тем, что привезли новые лекарства, куда лучше прежних. Они скоро поступят в аптеку, но он, пожалуй, мог бы дать мне один пузырёк прямо сейчас, если я обещаю оплатить затем его стоимость. Лекарство, надо сказать, не дешёвое, но я всё равно соглашаюсь. Я верю в Доктора и это новое лекарство.;Приём окончен. Что же мне делать теперь? Отправиться в город, пойти домой или прогуляться к реке? ;{comm}В город{ecomm}{say}Пожалуй, пройдусь немного, подышу свежим воздухом.{said}Иди {page:street}{3mm}{comm}Домой{ecomm}{say}Я изрядно устал от разговоров о болезни, да и вообще притомился. Пожалуй, пора отправляться домой и лечь спать.{said}Отправляйся {page:at_home}{3mm}{comm}Пойти к реке{ecomm}{say}Мне захотелось прогуляться в сторону реки, неподалеку от кладбища. Не вижу, почему бы мне не сделать этого.{said}Отправляйся {page:graveyard_fog};;;;
1;common;gloaki;clock_tick;;;;Тик-так, тик-так. Часы отбивают оставшееся мне время. Странно, что я замечаю это только сейчас, только когда смерть подступила совсем близко к каждому. Все мы одиноки в смертный час, но и в минуты любви, если подумать, тоже. Горе, казалось бы, проще делить с ближним, ведь вы одинаково несчастны, и никто не позавидует другому. Корни сочувствия в отсутствии предмета для зависти. Но когда несчастье становится повседневностью, в какой-то момент — тик-так — наступает отчуждение. Каждый замирает в тишине, предчувствуя собственный конец, в страхе замирая, прислушиваясь — тик-так, тик-так, — к тому, как бьётся сердце, к бренному своему телу, которое — тик-так, — в каждый новый момент может зайтись в приступе болезни. Но не сейчас, не сейчас, не сейчас, пожалуйста, не сейчас... .{3mm}Я вздрагиваю, очнувшись от дрёмы. Перед глазами стоят лица родственников, которые лежат в сырой земле. Я так скучаю. Пожалуй, нужно навестить их на кладбище, как они там, без меня? Наверное, тоже скучают, поэтому и зовут, вот так, через туман, время и землю. ;;Тик-так, — продолжают отстукивать часы. Их тиканье ведет {page:graveyard};;;;
1;common;gloaki;remember;; -B;Сбрось 1 Синий Камень;Давным-давно, в  том мире, в котором ещё светило солнце, а счастье ходило рядом с нами по улицам, но мы не замечали его, у меня была семья. Отец строил дома — добрая треть Салема была отстроена по его проекту, все новые дома, меж которых я сейчас гуляю впотьмах, напоминают мне об отце. Матушка готовила прекрасный яблочный пирог. Её звали Эбигайл, как и мою младшую сестру. Сестра любила играть с мячом, петь в церковном хоре и собиралась выйти замуж непременно за судью. Она умерла первой, даже раньше дедушки Винсента. Он был крепкий старик, и последним делил со мной кров. Я скучаю по ним.{3mm}Тик-так, тик-так, — отстукивают часы. Мне кажется, я каждый день забываю о чём-то очень важном, или уже навсегда забыл.;Поддаться убаюкивающему тиканью, или попытаться пробудить и себя, и свои воспоминания?;{comm}Подремать немного{ecomm}{say}Я позволяю тиканью убаюкать меня, и Морфей уносит меня в своих объятиях куда-то глубоко... {said}… прямиком {page:clock_tick}{3mm}{comm}Пробудить воспоминания{ecomm}{say}Я обязательно должен ухватить то важное, что кажется мне забытым! Без этого все бессмысленно! {said}Вырываясь из объятий дремы, беги {page:awake_memory}{3mm};;;;
1;common;gloaki;awake_memory;; -B;Сбрось 1 Синий Камень;Что тяготит меня в сумерках, а потом в темноте, когда силы зла властвуют над городом безраздельно? Что я упускаю в жёлтом неярком свете фонарей, в муторных заботах о несуществующем здоровье, в попытках выживать? О чём я забываю? Что меня так тревожит?;;{comm}Что все смертны{ecomm}{say}Так приятно забыть, что все уснут в холодной могиле. Что ж, мне надлежит помнить об этом всегда. Поэтому самое время пойти на кладбище, чтобы закрепить своё прозрение.{said}Ступай {page:graveyard}{3mm}{comm}Что я болею{ecomm}{say} Конечно же, это ведь так неприятно признавать, ощущать смертность, болезненность, давление общего рока. Каждый из нас стремится забыть, что болен. Что ж, раз я вспомнил, нужно сходить к врачу!{said}Иди в больницу {page:to_doctor}{3mm}{comm}Каким раньше был Салем{ecomm}{say}Город сильно изменился с того времени, как болезнь пришла. Раньше всё было иначе!{said}Воспоминания ведут тебя {page:old_salem};В этой ситуации Гипнотизер тебе не советчик. Только ты можешь понять, о чем ты забываешь;;;
1;common;gloaki;shooting;;;;Некоторое время я думаю, как бы одновременно взбодриться и сосредоточиться и, наконец, стреляю в воздух из своего пистолета. От резкого звука кладбищенские вороны взлетают к тёмно-серому небу и громко каркают. Я жадно втягиваю ноздрями запах пороха и, ускорив шаг, покидаю кладбище, пока меня не застали врасплох.{3mm}Я вспомнил, теперь я вспомнил точно! Люди умирали только раньше, когда-то давным-давно, а сейчас не умирают на самом деле! Живые стали как мёртвые, они ходят по улицам, подобно мертвецам, и не находят себе места. Мёртвые, как живые, восставшие из могил тела, они живее живых теперь. Солнце больше не сжигает, ветер не сушит их влажную кожу, они здесь, рядом, мне следует торопиться... ;;Вспомни <b>одно из своих Забытых Воспоминаний</b>: достань из книжки одну бумажку с Забытым Воспоминанием, разверни и прочитай его вслух.{3mm}Сеанс закончен, ты ПРОСЫПАЕШЬСЯ;;;;
1;common;gloaki;old_salem;;;;Я закурил крепкую сигару из давних отцовских запасов табака. Сейчас-то сигар совсем не осталось! И я вспомнил! Салем раньше был совсем не таким. Мы не бродили разобщённо по улицам, встречаясь только на похоронах, в баре или в больнице, не избегали друг друга!<br>Салем жил размеренной жизнью, и каждый был занят своим делом, традиционным для его семьи. Мы все соблюдали обычаи, знали, чем живёт сосед, старались помогать ближнему. Мы все так или иначе работали на полях, и 18 землевладельцев составляли совет Города, который фактически управлял Салемом и разрешал сложные ситуации, помогая мэру и муниципальным властям.{3mm}С чего же всё началось?.. Ах, да, Роджерсы продали поле и переехали в Бостон, а за ними уехали Бруксы, а потом умер старик Ли, так и не объяснив своему сыну, что же делать с полем, Фредерик Ли всегда был прижимистым и скрытным, но никто не думал, что до такой степени... ;;Вспомни <b>одно из своих Забытых Воспоминаний</b>: достань из книжки одну бумажку с Забытым Воспоминанием, разверни и прочитай его вслух.{3mm}Сеанс закончен, ты ПРОСЫПАЕШЬСЯ;;;;
